model,feature_space,k,n_init,covariance_type,reg_covar,val_ari,val_purity,val_combined,test_ari,test_purity,test_combined
GMM,with_driver,10,10,full,0.001,0.20896820896076235,0.3699441853352703,0.5789123942960326,0.20847810794100838,0.3697665518561041,0.5782446597971125
GMM,with_driver,10,3,tied,1e-06,0.18296765916981675,0.3935316155669394,0.5764992747367561,0.18391057890296456,0.39567546880979715,0.5795860477127617
GMM,with_driver,10,5,tied,1e-06,0.18296765916981675,0.3935316155669394,0.5764992747367561,0.18391057890296456,0.39567546880979715,0.5795860477127617
GMM,with_driver,10,10,tied,1e-06,0.20301357114337695,0.4095114305375029,0.6125250016808799,0.2018857635567954,0.4055491771909682,0.6074349407477636
GMM,with_driver,10,3,tied,1e-05,0.18296765916981675,0.3935316155669394,0.5764992747367561,0.18391057890296456,0.39567546880979715,0.5795860477127617
GMM,with_driver,10,5,tied,1e-05,0.18296765916981675,0.3935316155669394,0.5764992747367561,0.18391057890296456,0.39567546880979715,0.5795860477127617
GMM,with_driver,10,10,tied,1e-05,0.20301357114337695,0.4095114305375029,0.6125250016808799,0.2018857635567954,0.4055491771909682,0.6074349407477636
GMM,with_driver,10,3,tied,0.0001,0.17977133055969613,0.40511506995947705,0.5848864005191732,0.17973531153050748,0.40436280137772673,0.5840981129082342
GMM,with_driver,10,5,tied,0.0001,0.19238894140383164,0.4105436195427785,0.6029325609466102,0.19398379472882837,0.41446613088404133,0.6084499256128697
GMM,with_driver,10,10,tied,0.0001,0.20350362130860078,0.4104671610979433,0.6139707824065441,0.2021534186419624,0.406123230003827,0.6082766486457893
GMM,with_driver,10,3,tied,0.001,0.11284747465202999,0.3986543313708999,0.5115018060229299,0.11339441021034116,0.3947569843092231,0.5081513945195643
GMM,with_driver,10,5,tied,0.001,0.1895901297108327,0.4095878889823381,0.5991780186931708,0.19150685751699822,0.41389207807118256,0.6053989355881808
GMM,with_driver,10,10,tied,0.001,0.1895901297108327,0.4095878889823381,0.5991780186931708,0.19150685751699822,0.41389207807118256,0.6053989355881808
GMM,with_driver,10,3,diag,1e-06,0.2357175324564888,0.3969340163621072,0.632651548818596,0.23220421816747666,0.39525449674703406,0.6274587149145108
GMM,with_driver,10,5,diag,1e-06,0.2357175324564888,0.3969340163621072,0.632651548818596,0.23220421816747666,0.39525449674703406,0.6274587149145108
GMM,with_driver,10,10,diag,1e-06,0.2700567669305208,0.4641792185946938,0.7342359855252145,0.26880536168042746,0.46417910447761196,0.7329844661580394
GMM,with_driver,10,3,diag,1e-05,0.21453800051815927,0.39681932869485437,0.6113573292130137,0.2132543987030185,0.39318790662074243,0.6064423053237609
